"fullvisitorid","date","units_sold","unit_price","revenue"
"5613784133853070022","2017-06-23",50,"159.50","7975.00"
"0157592049434831040","2017-05-26",30,"263.70","7911.00"
"0128432477990891906","2017-05-01",30,"263.70","7911.00"
"048028447153847324","2017-07-06",30,"263.70","7911.00"
"3781969655259017831","2017-07-17",30,"263.70","7911.00"
"2818796658906330904","2017-07-07",30,"263.70","7911.00"
"6207808178177919930","2017-06-12",100,"79.00","7900.00"
"515770511624914543","2017-05-10",100,"79.00","7900.00"
"9661775944684760384","2017-05-24",100,"79.00","7900.00"
"0339607919256111349","2017-06-14",33,"237.27","7829.91"
"1775822860837086573","2017-07-26",35,"220.15","7705.25"
"804688559095985023","2017-07-20",40,"192.00","7680.00"
"3404526408923397238","2017-06-02",40,"191.60","7664.00"
"9547536437145935282","2017-06-29",40,"191.60","7664.00"
"2818796658906330904","2017-07-07",40,"191.60","7664.00"
"5469079519715865124","2017-05-31",13,"582.27","7569.51"
"3159680216269803510","2017-07-26",25,"299.75","7493.75"
"1543258820368301539","2017-06-05",25,"299.75","7493.75"
"3354041583654515139","2017-07-10",50,"149.50","7475.00"
"1141516868619289347","2017-05-08",50,"149.50","7475.00"
"276483305236391136","2017-06-01",50,"149.50","7475.00"
"980432803323288584","2017-06-12",50,"149.50","7475.00"
"64081240582624584","2017-05-07",50,"149.50","7475.00"
"1957458976293878100","2017-06-08",50,"149.50","7475.00"
"3052828106337222847","2017-07-13",22,"338.58","7448.76"
"3121391428402721372","2017-06-27",18,"413.82","7448.76"
"0808590613539299119","2017-07-19",26,"285.74","7429.24"
"8639938222926717258","2017-07-19",26,"285.74","7429.24"
"0348641465070077039","2017-05-12",20,"369.40","7388.00"
"7308095176976751222","2017-06-21",20,"369.40","7388.00"
"7782965489086957079","2017-07-10",20,"369.40","7388.00"
"5039450677611598907","2017-07-05",20,"369.40","7388.00"
"9170450146722277059","2017-05-12",48,"153.12","7349.76"
"3693780642505402534","2017-05-18",60,"120.00","7200.00"
"4664485260834992023","2017-05-31",30,"239.70","7191.00"
"5039450677611598907","2017-07-05",50,"140.00","7000.00"
"091033524538975584","2017-06-22",200,"34.99","6998.00"
"3052828106337222847","2017-07-13",27,"256.23","6918.21"
"4828702923179484007","2017-05-16",300,"22.99","6897.00"
"6814131569143407041","2017-06-05",25,"274.75","6868.75"
"4604965471651937146","2017-06-28",20,"339.80","6796.00"
"5039450677611598907","2017-07-05",12,"566.28","6795.36"
"3052828106337222847","2017-07-13",21,"323.19","6786.99"
"2675288268782734510","2017-07-22",25,"270.00","6750.00"
"8620113165712973026","2017-07-19",49,"137.20","6722.80"
"3052828106337222847","2017-07-13",20,"335.80","6716.00"
"2404730522088263435","2017-05-07",40,"167.60","6704.00"
"037324303090551054","2017-07-18",40,"167.60","6704.00"
"6866350473487025538","2017-06-15",25,"265.75","6643.75"
"0372624612983817650","2017-07-17",38,"173.28","6584.64"
"5039450677611598907","2017-07-05",22,"298.98","6577.56"
"7338727505204882646","2017-05-18",25,"259.75","6493.75"
"9947542428111966715","2017-08-01",26,"249.60","6489.60"
"4984366501121503466","2017-05-26",43,"150.50","6471.50"
"8458146080792747296","2017-06-05",30,"215.70","6471.00"
"4975119574995780510","2017-05-23",45,"143.55","6459.75"
"8620113165712973026","2017-07-19",48,"134.40","6451.20"
"3404526408923397238","2017-06-09",40,"159.60","6384.00"
"2623046443543317941","2017-06-18",40,"159.60","6384.00"
"804688559095985023","2017-07-24",40,"159.60","6384.00"
"1977171862732443916","2017-06-12",40,"159.60","6384.00"
"8231329995416922311","2017-06-20",40,"159.60","6384.00"
"804688559095985023","2017-07-20",40,"159.60","6384.00"
"3404526408923397238","2017-06-02",40,"159.60","6384.00"
"3159680216269803510","2017-07-26",23,"275.77","6342.71"
"8907488943105277340","2017-05-25",23,"275.77","6342.71"
"9302767552528832368","2017-07-11",30,"209.70","6291.00"
"79204932396995037","2017-06-19",125,"49.99","6252.75"
"1141516868619289347","2017-05-08",50,"125.00","6250.00"
"7548511681521037018","2017-05-01",25,"249.75","6243.75"
"1775822860837086573","2017-07-26",40,"154.00","6160.00"
"1477143410600542475","2017-05-11",302,"20.29","6127.58"
"0634506282991036601","2017-05-02",35,"174.65","6112.75"
"689318192161645703","2017-06-21",20,"303.80","6076.00"
"3052828106337222847","2017-07-13",19,"319.01","6061.19"
"4375541924120181729","2017-05-17",45,"134.55","6054.75"
"0540740947015886444","2017-07-18",300,"19.99","5997.00"
"5082563130101167793","2017-05-03",500,"11.99","5995.00"
"2760321897851747654","2017-07-12",50,"119.50","5975.00"
"2818796658906330904","2017-07-07",50,"119.50","5975.00"
"7840428913250059503","2017-07-28",50,"119.50","5975.00"
"276483305236391136","2017-06-01",50,"119.50","5975.00"
"5185645869012304658","2017-06-20",50,"119.50","5975.00"
"5469079519715865124","2017-05-31",50,"119.50","5975.00"
"6207808178177919930","2017-06-12",50,"119.50","5975.00"
"5185645869012304658","2017-06-27",50,"119.50","5975.00"
"2818796658906330904","2017-07-06",50,"119.50","5975.00"
"7640844068811990915","2017-05-01",50,"119.50","5975.00"
"7946697392929480488","2017-06-01",35,"167.65","5867.75"
